Año,Modelo,Potencia_HP,Precio_Base,Promociones,Ventas
2020,MTR-A,150,12000,2,340
2020,MTR-B,200,15000,1,410
2020,MTR-C,250,18000,0,290
2020,MTR-D,300,20000,3,280
2021,MTR-A,160,12500,1,360
2021,MTR-B,210,15500,2,430
2021,MTR-C,260,18500,1,310
2021,MTR-D,310,20500,0,270
2022,MTR-A,155,12200,2,350
2022,MTR-B,205,15200,1,420
2022,MTR-C,255,18200,0,300
2022,MTR-D,305,20200,2,290
2023,MTR-A,165,12700,3,370
2023,MTR-B,215,15700,1,440
2023,MTR-C,265,18700,2,320
2023,MTR-D,315,20700,0,275
2024,MTR-A,170,13000,1,390
2024,MTR-B,220,16000,2,450
2024,MTR-C,270,19000,0,310
2024,MTR-D,320,21000,3,285
2025,MTR-A,175,13200,2,400
2025,MTR-B,225,16200,1,460
2025,MTR-C,275,19200,1,330
2025,MTR-D,325,21200,0,280
2020,MTR-A,152,12100,1,345
2020,MTR-B,202,15100,0,405
2020,MTR-C,252,18100,2,295
2020,MTR-D,302,20100,1,285
2021,MTR-A,162,12600,2,365
2021,MTR-B,212,15600,1,435
2021,MTR-C,262,18600,0,315
2021,MTR-D,312,20600,3,275
2022,MTR-A,157,12300,1,355
2022,MTR-B,207,15300,2,425
2022,MTR-C,257,18300,1,305
2022,MTR-D,307,20300,0,295
2023,MTR-A,167,12800,0,375
2023,MTR-B,217,15800,3,445
2023,MTR-C,267,18800,1,325
2023,MTR-D,317,20800,2,280
2024,MTR-A,172,13100,2,395
2024,MTR-B,222,16100,1,455
2024,MTR-C,272,19100,0,315
2024,MTR-D,322,21100,1,290
2025,MTR-A,177,13300,3,405
2025,MTR-B,227,16300,0,465
2025,MTR-C,277,19300,2,335
2025,MTR-D,327,21300,1,285
2020,MTR-A,154,12250,0,342
2020,MTR-B,204,15250,2,412
2020,MTR-C,254,18250,1,292
2020,MTR-D,304,20250,3,282
2021,MTR-A,164,12750,1,362
2021,MTR-B,214,15750,0,432
2021,MTR-C,264,18750,2,312
2021,MTR-D,314,20750,1,272
2022,MTR-A,159,12450,3,352
2022,MTR-B,209,15450,1,422
2022,MTR-C,259,18450,0,302
2022,MTR-D,309,20450,2,292
2023,MTR-A,169,12950,2,372
2023,MTR-B,219,15950,1,442
2023,MTR-C,269,18950,3,322
2023,MTR-D,319,20950,0,277
2024,MTR-A,174,13250,0,392
2024,MTR-B,224,16250,2,452
2024,MTR-C,274,19250,1,317
2024,MTR-D,324,21250,3,287
2025,MTR-A,179,13450,1,402
2025,MTR-B,229,16450,0,467
2025,MTR-C,279,19450,2,337
2025,MTR-D,329,21450,1,282
2020,MTR-A,151,11950,3,338
2020,MTR-B,201,14950,1,408
2020,MTR-C,251,17950,0,288
2020,MTR-D,301,19950,2,278
2021,MTR-A,161,12450,0,358
2021,MTR-B,211,15450,2,428
2021,MTR-C,261,18450,1,308
2021,MTR-D,311,20450,3,268
2022,MTR-A,156,12150,1,348
2022,MTR-B,206,15150,0,418
2022,MTR-C,256,18150,2,298
2022,MTR-D,306,20150,1,288
2023,MTR-A,166,12650,2,368
2023,MTR-B,216,15650,1,438
2023,MTR-C,266,18650,0,318
2023,MTR-D,316,20650,2,273
2024,MTR-A,171,12950,1,388
2024,MTR-B,221,15950,3,448
2024,MTR-C,271,18950,2,313
2024,MTR-D,321,20950,0,283
2025,MTR-A,176,13150,0,398
2025,MTR-B,226,16150,2,458
2025,MTR-C,276,19150,1,333
2025,MTR-D,326,21150,3,278
